Season;Team;Player;Matches_Played;Goals;Assists;Shots;Passes_Completed;Tackles;Yellow_Cards;Red_Cards;Minutes_Played;Offsides;Fouls;Clean_Sheets
2019/20;Manchester United;Player_61;8;7;10;83;315;36;2;0;1500;0;2;7
2019/20;Real Madrid;Player_62;8;22;19;66;360;17;4;0;1587;10;1;12
2020/21;Chelsea;Player_63;24;6;7;26;973;9;1;1;2856;4;8;3
2017/18;Paris Saint-Germain;Player_64;4;4;12;38;257;26;9;0;2595;8;8;6
2017/18;Manchester United;Player_65;14;26;7;84;672;23;8;2;2946;3;5;13
2020/21;Manchester United;Player_66;32;26;6;42;484;35;1;2;329;6;2;8
2017/18;Juventus;Player_67;9;5;12;73;443;39;1;1;2409;9;5;11
2016/17;Paris Saint-Germain;Player_68;29;0;0;34;579;22;3;0;1907;3;8;2
2020/21;Bayern Munich;Player_69;25;11;3;74;945;33;6;0;1558;9;1;10
2017/18;Juventus;Player_70;7;12;1;48;203;39;2;2;1899;7;0;13
2021/22;Paris Saint-Germain;Player_71;37;14;6;67;447;12;3;2;1168;4;0;2
2020/21;Barcelona;Player_72;29;15;14;91;175;49;7;1;895;3;9;9
2022/23;Bayern Munich;Player_73;29;23;18;55;850;11;0;1;3272;12;3;13
2018/19;Paris Saint-Germain;Player_74;6;24;13;59;672;18;7;0;426;2;9;6
2018/19;Bayern Munich;Player_75;16;3;3;71;304;44;5;1;2585;14;1;14
2022/23;Chelsea;Player_76;10;22;11;48;776;23;2;1;241;12;5;9
2017/18;Bayern Munich;Player_77;36;0;0;16;495;34;6;0;701;3;3;11
2018/19;Paris Saint-Germain;Player_78;32;19;3;69;984;17;2;2;875;1;3;6
2022/23;Paris Saint-Germain;Player_79;16;2;19;50;495;49;9;2;1497;4;8;1
2021/22;Real Madrid;Player_80;1;7;5;33;919;28;8;2;2766;5;7;11
2017/18;Juventus;Player_81;33;4;12;33;203;26;6;0;3148;0;5;5
2021/22;Paris Saint-Germain;Player_82;38;24;2;55;181;27;0;2;3081;4;5;10
2016/17;Manchester United;Player_83;3;15;7;49;677;22;5;2;344;6;6;6
2021/22;Liverpool;Player_84;10;18;6;41;271;7;7;0;1735;2;0;7
2020/21;Real Madrid;Player_85;32;1;4;75;821;9;2;2;3213;14;8;10
2019/20;Paris Saint-Germain;Player_86;24;4;15;11;386;21;5;1;2263;11;6;3
2021/22;Juventus;Player_87;25;5;19;49;831;24;8;0;1615;6;7;2
2022/23;Juventus;Player_88;26;9;16;42;880;18;6;2;2000;10;6;12
2022/23;Bayern Munich;Player_89;1;19;17;43;153;27;4;1;2027;7;9;13
2016/17;Paris Saint-Germain;Player_90;29;2;1;76;403;13;5;1;2714;1;2;2
2022/23;Chelsea;Player_91;16;15;0;84;721;23;7;2;1639;10;8;6
2016/17;Chelsea;Player_92;3;19;13;88;962;7;5;2;2887;7;8;14
2016/17;Liverpool;Player_93;14;7;3;48;569;5;4;2;913;3;5;4
2018/19;Paris Saint-Germain;Player_94;25;25;7;25;509;48;0;1;1364;11;3;7
2016/17;Barcelona;Player_95;39;22;4;81;228;40;3;1;2353;2;7;13
2019/20;Juventus;Player_96;14;11;16;19;729;44;2;1;3526;14;6;8
2017/18;Real Madrid;Player_97;20;19;18;52;472;17;4;2;2772;12;0;12
2016/17;Chelsea;Player_98;6;17;11;40;251;21;0;0;1324;1;1;8
2020/21;Barcelona;Player_99;6;10;18;13;528;14;4;0;2404;12;6;7
2021/22;Manchester United;Player_100;21;25;2;36;815;48;5;1;949;8;8;11
2022/23;Paris Saint-Germain;Player_101;29;0;6;75;432;15;9;0;380;13;2;14
2016/17;Bayern Munich;Player_102;38;12;11;32;506;36;4;1;2256;13;5;1
2017/18;Bayern Munich;Player_103;1;25;6;60;824;5;0;0;187;5;9;7
2018/19;Barcelona;Player_104;18;13;3;40;115;26;1;0;1659;2;3;7
2020/21;Barcelona;Player_105;17;15;18;59;669;16;8;2;168;5;8;14
2017/18;Chelsea;Player_106;1;22;8;42;206;13;7;0;3202;12;6;7
2021/22;Barcelona;Player_107;34;15;17;65;721;37;1;2;1198;9;6;8
2022/23;Bayern Munich;Player_108;11;27;14;59;755;36;1;2;1843;2;4;8
2021/22;Juventus;Player_109;13;14;3;45;148;49;6;1;1143;11;5;2
2022/23;Barcelona;Player_110;25;26;2;36;284;31;0;1;209;6;8;5
2022/23;Liverpool;Player_111;25;18;7;26;621;29;1;0;394;11;7;5
2017/18;Juventus;Player_112;26;3;12;36;541;8;1;2;1732;2;3;4
2022/23;Paris Saint-Germain;Player_113;33;4;8;83;871;26;8;2;1951;13;8;12
2018/19;Liverpool;Player_114;17;21;11;94;555;8;4;0;1726;2;1;8
2022/23;Manchester United;Player_115;39;17;6;86;126;41;0;1;768;10;8;12
2017/18;Liverpool;Player_116;1;17;4;75;644;46;7;0;2284;7;7;4
2022/23;Paris Saint-Germain;Player_117;18;29;13;47;232;29;8;0;532;10;0;0
2016/17;Paris Saint-Germain;Player_118;17;0;3;15;208;20;9;2;1558;10;8;8
2017/18;Barcelona;Player_119;39;20;3;18;819;45;9;0;2814;9;5;2
2021/22;Real Madrid;Player_120;28;3;1;53;567;16;5;1;1073;7;7;4
2017/18;Juventus;Player_121;22;2;10;88;536;5;1;2;1591;13;5;8
2016/17;Manchester United;Player_122;35;8;7;16;228;49;0;0;1011;2;1;0
2020/21;Barcelona;Player_123;27;28;18;21;941;5;9;0;3541;14;9;3
2019/20;Juventus;Player_124;23;5;9;29;158;46;5;2;2487;7;5;13
2016/17;Real Madrid;Player_125;34;4;3;55;510;40;7;1;2294;8;3;10
2016/17;Real Madrid;Player_126;31;27;19;76;158;36;1;2;534;13;6;3
2021/22;Paris Saint-Germain;Player_127;38;3;2;50;480;47;0;1;1283;13;8;13
2018/19;Juventus;Player_128;12;23;11;36;695;22;5;1;3116;14;0;10
2017/18;Liverpool;Player_129;28;29;8;14;212;7;8;0;2430;11;9;10
2016/17;Juventus;Player_130;17;15;12;51;639;37;3;0;3479;3;2;6
2018/19;Liverpool;Player_131;26;10;11;99;714;5;8;2;1712;7;0;5
2018/19;Juventus;Player_132;6;6;18;86;683;13;0;2;378;13;8;14
2017/18;Liverpool;Player_133;26;13;17;59;343;23;1;2;755;12;2;9
2019/20;Liverpool;Player_134;26;15;1;72;596;23;6;2;1885;7;9;9
2018/19;Real Madrid;Player_135;13;15;19;79;540;22;8;2;374;8;1;7
2018/19;Liverpool;Player_136;20;18;0;91;507;22;8;1;3415;10;2;8
2022/23;Liverpool;Player_137;8;7;3;18;484;46;6;2;2423;7;5;11
2016/17;Juventus;Player_138;10;19;1;79;786;27;0;2;2006;10;5;11
2018/19;Paris Saint-Germain;Player_139;4;8;7;32;952;8;9;0;2401;7;5;0
2021/22;Bayern Munich;Player_140;39;7;19;82;159;14;9;2;157;2;0;5
2016/17;Manchester United;Player_141;18;7;2;56;883;27;0;2;3218;9;5;5
2017/18;Chelsea;Player_142;32;17;4;95;187;44;8;1;2882;4;0;10
2022/23;Bayern Munich;Player_143;8;9;12;21;428;28;3;1;1181;4;3;8
2018/19;Real Madrid;Player_144;15;27;19;11;868;25;6;2;3532;2;7;12
2020/21;Manchester United;Player_145;10;8;1;22;928;38;6;1;1502;13;7;9
2020/21;Paris Saint-Germain;Player_146;18;26;7;22;998;7;8;2;1301;10;2;8
2019/20;Barcelona;Player_147;33;7;13;33;238;42;2;1;3257;1;6;14
2020/21;Barcelona;Player_148;20;22;10;65;176;29;6;0;3422;6;4;1
2022/23;Real Madrid;Player_149;13;22;19;66;568;48;7;2;2233;3;6;6
2018/19;Barcelona;Player_150;15;6;16;71;620;47;4;2;3043;10;0;0
2018/19;Barcelona;Player_151;28;0;2;65;960;34;1;1;990;13;1;2
2020/21;Real Madrid;Player_152;31;25;3;45;199;47;5;2;3170;8;2;6
2018/19;Juventus;Player_153;24;25;6;92;907;8;8;2;355;9;4;11
2018/19;Chelsea;Player_154;10;12;14;72;588;12;2;2;2991;3;2;9
2020/21;Chelsea;Player_155;26;28;0;32;875;48;2;0;676;3;0;5
2020/21;Bayern Munich;Player_156;12;24;11;58;638;21;4;1;2061;9;6;5
2018/19;Barcelona;Player_157;32;7;5;36;896;19;2;0;3389;10;9;3
2020/21;Chelsea;Player_158;32;22;11;51;205;34;5;2;2689;3;3;5
2021/22;Chelsea;Player_159;7;21;19;56;106;44;4;2;2657;13;9;14
2016/17;Real Madrid;Player_160;2;27;2;46;826;43;0;2;448;12;7;11
2018/19;Paris Saint-Germain;Player_161;27;19;9;62;231;48;4;1;2154;12;7;14
2017/18;Liverpool;Player_162;12;17;15;69;699;15;7;1;1990;10;6;11
2018/19;Barcelona;Player_163;22;19;17;28;644;31;6;2;3137;6;7;8
2018/19;Manchester United;Player_164;19;13;14;23;141;17;1;0;3162;6;4;7
2019/20;Real Madrid;Player_165;29;26;3;58;947;9;9;2;301;14;0;8
2018/19;Juventus;Player_166;34;25;16;54;154;32;3;1;3404;8;0;13
2021/22;Manchester United;Player_167;20;7;18;37;580;27;0;0;2143;5;2;5
2021/22;Liverpool;Player_168;1;8;17;92;972;43;4;2;2013;7;6;0
2021/22;Bayern Munich;Player_169;5;25;0;51;933;8;1;0;2981;5;9;1
2018/19;Paris Saint-Germain;Player_170;22;19;13;79;717;17;8;0;869;3;9;13
2018/19;Chelsea;Player_171;18;5;11;76;757;8;2;0;960;4;7;9
2018/19;Real Madrid;Player_172;9;18;8;14;442;19;0;1;1750;4;9;3
2019/20;Paris Saint-Germain;Player_173;16;3;1;10;971;5;8;0;2568;8;2;3
2018/19;Real Madrid;Player_174;35;17;15;78;272;9;4;0;1217;12;0;2
2018/19;Bayern Munich;Player_175;23;24;0;30;354;49;3;1;2374;1;5;9
2017/18;Chelsea;Player_176;27;22;14;74;405;12;2;2;1188;9;3;2
2022/23;Chelsea;Player_177;15;21;18;98;810;25;0;2;1581;1;8;5
2016/17;Bayern Munich;Player_178;35;1;12;71;845;25;9;0;1042;9;0;3
2019/20;Barcelona;Player_179;26;3;16;59;655;26;9;1;1325;4;2;0
2017/18;Barcelona;Player_180;19;14;17;87;676;9;4;1;1968;7;1;1
2016/17;Bayern Munich;Player_181;10;24;17;98;423;11;8;0;2784;11;5;1
2020/21;Manchester United;Player_182;4;27;6;14;788;45;0;1;2478;4;5;10
2018/19;Bayern Munich;Player_183;16;0;13;67;597;30;2;0;3128;7;8;10
2018/19;Manchester United;Player_184;23;20;5;24;691;43;1;1;2172;9;1;1
2020/21;Liverpool;Player_185;19;27;18;74;883;17;6;1;2835;6;0;14
2017/18;Paris Saint-Germain;Player_186;3;29;19;63;103;40;4;0;1122;14;9;0
2018/19;Bayern Munich;Player_187;11;19;3;36;845;39;1;0;1619;10;2;10
2018/19;Juventus;Player_188;25;1;17;99;985;47;9;0;488;0;6;3
2016/17;Real Madrid;Player_189;20;1;7;86;734;20;6;0;1532;9;2;6
2016/17;Paris Saint-Germain;Player_190;6;3;8;55;518;43;7;0;981;1;1;5
2017/18;Chelsea;Player_191;35;23;10;30;916;45;3;0;2228;12;4;0
2022/23;Real Madrid;Player_192;32;8;5;24;464;16;1;0;2599;11;4;10
2021/22;Manchester United;Player_193;28;15;2;33;484;7;1;1;2939;3;9;9
2017/18;Real Madrid;Player_194;39;7;18;11;472;9;8;2;2263;0;9;8
2020/21;Manchester United;Player_195;38;1;4;59;487;49;5;2;135;1;7;10
2021/22;Chelsea;Player_196;1;25;17;76;283;28;3;1;2380;11;1;11
2022/23;Paris Saint-Germain;Player_197;12;3;9;86;380;22;2;0;1384;5;8;3
2019/20;Paris Saint-Germain;Player_198;39;4;1;78;595;32;5;1;1270;8;7;1
2017/18;Chelsea;Player_199;2;6;4;68;237;13;2;1;3012;3;0;4
2021/22;Juventus;Player_200;36;0;7;29;606;28;4;0;713;13;9;9
2016/17;Barcelona;Player_201;17;21;7;35;838;12;1;0;1978;4;0;0
2019/20;Paris Saint-Germain;Player_202;31;2;0;47;997;49;6;1;326;2;7;4
2017/18;Chelsea;Player_203;3;4;6;92;674;26;4;1;2007;5;7;5
2020/21;Juventus;Player_204;12;23;2;20;495;22;3;1;2183;9;0;10
2021/22;Chelsea;Player_205;34;28;10;40;853;8;8;1;1992;1;6;14
2017/18;Barcelona;Player_206;37;13;6;89;414;27;5;0;776;6;4;3
2016/17;Juventus;Player_207;11;7;10;56;858;17;3;0;3457;7;1;3
2019/20;Liverpool;Player_208;30;3;6;42;947;45;1;0;224;3;5;14
2017/18;Real Madrid;Player_209;30;5;7;22;316;43;6;2;138;12;4;12
2016/17;Real Madrid;Player_210;32;4;3;51;725;9;0;2;1442;7;0;7
2016/17;Juventus;Player_211;21;22;11;84;595;19;9;0;1182;14;2;8
2021/22;Bayern Munich;Player_212;3;15;11;98;797;21;4;1;611;6;9;13
2018/19;Bayern Munich;Player_213;29;11;2;19;214;32;1;2;441;1;4;7
2018/19;Real Madrid;Player_214;7;29;13;16;803;32;1;2;2862;6;5;10
2021/22;Bayern Munich;Player_215;30;11;11;77;365;5;9;1;1655;6;9;8
2020/21;Paris Saint-Germain;Player_216;33;3;5;67;725;46;0;1;1123;6;4;6
2019/20;Juventus;Player_217;19;27;8;74;445;45;9;2;2201;2;4;1
2020/21;Bayern Munich;Player_218;3;28;9;51;975;19;3;1;3038;12;1;14
2019/20;Liverpool;Player_219;2;3;1;85;138;48;1;1;1797;12;9;12
2016/17;Manchester United;Player_220;21;13;0;14;702;13;3;0;2974;9;6;6
2022/23;Barcelona;Player_221;23;29;2;38;643;34;4;2;1053;11;3;3
2017/18;Bayern Munich;Player_222;29;9;9;21;677;41;5;1;3597;4;6;0
2020/21;Bayern Munich;Player_223;24;28;5;62;804;37;4;0;1751;3;4;2
2021/22;Chelsea;Player_224;34;27;18;40;638;48;7;1;2286;12;8;11
2020/21;Barcelona;Player_225;18;8;7;37;175;9;0;1;2759;6;3;8
2016/17;Barcelona;Player_226;38;16;2;81;808;20;6;0;726;11;0;2
2019/20;Paris Saint-Germain;Player_227;33;22;3;78;113;20;3;2;2114;6;6;2
2018/19;Manchester United;Player_228;26;19;1;12;844;21;2;1;2742;5;9;11
2021/22;Real Madrid;Player_229;23;16;9;17;513;34;2;0;913;3;9;13
2019/20;Real Madrid;Player_230;6;16;15;60;128;24;1;2;2566;14;4;8
2018/19;Real Madrid;Player_231;10;7;17;84;212;39;8;0;1389;3;8;6
2021/22;Real Madrid;Player_232;30;29;0;99;866;28;2;1;1736;0;3;0
2017/18;Liverpool;Player_233;18;2;16;18;512;29;1;1;676;2;6;12
2022/23;Manchester United;Player_234;14;29;5;88;389;13;8;1;2411;14;1;8
2016/17;Manchester United;Player_235;22;22;3;53;478;24;8;1;3040;0;9;14
2022/23;Bayern Munich;Player_236;7;16;11;14;739;24;5;0;1970;10;0;8
2020/21;Real Madrid;Player_237;26;10;5;62;940;39;8;0;102;11;6;13
2019/20;Paris Saint-Germain;Player_238;22;22;3;31;514;48;7;1;2988;11;7;8
2018/19;Juventus;Player_239;28;13;9;85;394;16;7;1;1174;13;7;14
2019/20;Manchester United;Player_240;13;28;13;92;185;14;1;0;1121;10;3;11
2020/21;Bayern Munich;Player_241;10;21;3;97;675;36;0;0;3329;13;9;2
2018/19;Barcelona;Player_242;11;29;0;13;746;26;2;2;2600;3;9;5
2019/20;Liverpool;Player_243;14;1;8;70;208;6;5;1;148;8;8;2
2018/19;Barcelona;Player_244;8;8;3;44;124;29;2;1;1727;0;7;12
2017/18;Manchester United;Player_245;9;22;12;59;354;29;1;2;3382;13;7;10
2016/17;Bayern Munich;Player_246;15;22;11;15;605;12;7;2;401;12;0;10
2016/17;Manchester United;Player_247;6;2;8;42;368;30;5;2;390;14;1;13
2021/22;Liverpool;Player_248;28;26;8;78;178;44;6;2;2692;14;9;8
2021/22;Bayern Munich;Player_249;38;8;5;63;111;42;4;1;734;4;0;7
2020/21;Liverpool;Player_250;28;1;19;67;948;20;9;2;2147;6;3;1
2018/19;Chelsea;Player_251;25;1;6;16;316;7;9;2;1208;5;5;7
2020/21;Chelsea;Player_252;21;26;18;32;917;21;7;2;1916;12;6;12
2016/17;Juventus;Player_253;6;14;11;59;793;6;8;1;2408;14;7;8
2021/22;Bayern Munich;Player_254;26;12;3;21;555;11;1;2;991;6;0;14
2021/22;Juventus;Player_255;34;11;12;11;484;6;8;1;1986;6;7;4
2019/20;Manchester United;Player_256;23;15;1;71;131;38;6;1;854;1;6;1
2020/21;Paris Saint-Germain;Player_257;33;29;17;90;624;45;3;0;186;10;0;11
2019/20;Real Madrid;Player_258;14;2;10;94;276;8;9;1;1427;7;5;13
2021/22;Paris Saint-Germain;Player_259;9;2;3;60;286;28;6;1;2770;8;3;9
2018/19;Paris Saint-Germain;Player_260;36;1;9;72;343;9;6;1;3339;4;6;12
2020/21;Manchester United;Player_261;32;12;11;41;635;39;5;1;3463;1;5;9
2022/23;Bayern Munich;Player_262;23;24;3;24;620;39;4;0;3585;5;9;7
2022/23;Real Madrid;Player_263;35;23;8;58;772;19;6;1;405;3;2;5
2018/19;Liverpool;Player_264;11;4;14;35;459;13;7;1;2274;12;1;11
2018/19;Real Madrid;Player_265;36;0;13;85;762;27;4;1;400;6;6;9
2017/18;Juventus;Player_266;24;20;8;41;488;20;7;0;2311;2;9;10
2016/17;Chelsea;Player_267;17;14;12;28;374;15;3;2;2671;13;9;3
2017/18;Liverpool;Player_268;17;27;5;92;473;5;3;2;1440;0;5;3
2020/21;Real Madrid;Player_269;29;20;3;92;900;19;8;2;2290;2;9;14
2022/23;Liverpool;Player_270;31;8;1;29;967;20;0;2;501;0;5;2
2019/20;Juventus;Player_271;15;25;14;84;413;11;2;0;1284;2;4;11
2021/22;Bayern Munich;Player_272;24;18;9;71;532;32;2;2;804;13;3;7
2022/23;Liverpool;Player_273;16;23;2;80;607;31;6;2;1823;0;0;9
2019/20;Chelsea;Player_274;30;4;9;44;538;21;5;2;2360;8;9;11
2020/21;Manchester United;Player_275;14;9;4;13;702;11;2;2;2989;2;8;7
2022/23;Chelsea;Player_276;21;14;17;68;829;45;1;1;398;10;5;0
2019/20;Manchester United;Player_277;29;23;13;54;474;15;8;2;1251;7;1;7
2016/17;Bayern Munich;Player_278;7;27;0;28;129;17;3;1;2875;3;9;2
2016/17;Barcelona;Player_279;39;27;18;39;848;18;4;1;420;11;6;1
2018/19;Barcelona;Player_280;25;23;5;22;668;20;4;1;2147;10;7;14
2022/23;Bayern Munich;Player_281;38;3;18;63;739;18;9;2;165;10;8;0
2020/21;Real Madrid;Player_282;23;25;4;47;195;45;5;0;1734;14;6;3
2019/20;Manchester United;Player_283;8;3;9;32;886;39;9;1;3281;6;9;9
2019/20;Manchester United;Player_284;38;7;8;13;617;30;3;1;3323;7;1;1
2016/17;Liverpool;Player_285;23;6;18;89;731;32;0;2;3381;1;3;14
2018/19;Manchester United;Player_286;35;14;11;68;932;27;5;2;2375;8;4;1
2019/20;Barcelona;Player_287;14;22;16;98;609;46;9;2;1279;2;3;9
2017/18;Juventus;Player_288;10;27;8;37;367;15;1;2;1668;12;8;12
2016/17;Bayern Munich;Player_289;11;19;10;60;960;30;6;1;747;14;7;3
2019/20;Barcelona;Player_290;12;10;9;63;949;22;0;0;862;1;7;12
2021/22;Paris Saint-Germain;Player_291;23;22;13;39;193;36;4;1;1001;8;0;8
2019/20;Bayern Munich;Player_292;30;8;13;85;600;5;7;2;2852;14;5;8
2018/19;Bayern Munich;Player_293;30;2;7;60;451;28;7;2;736;6;9;4
2016/17;Liverpool;Player_294;31;20;8;59;375;26;9;1;424;6;5;3
2019/20;Chelsea;Player_295;17;0;8;60;260;29;4;2;1824;7;2;1
2021/22;Chelsea;Player_296;8;21;5;27;624;38;1;1;167;10;8;1
2017/18;Paris Saint-Germain;Player_297;13;20;7;64;618;10;7;1;810;6;9;2
2019/20;Manchester United;Player_298;39;12;19;37;965;39;9;0;2984;14;0;3
2020/21;Liverpool;Player_299;26;24;6;84;452;23;6;2;273;4;7;8
2016/17;Real Madrid;Player_300;19;25;15;17;675;31;8;1;2895;9;2;11
2018/19;Manchester United;Player_301;33;1;16;12;901;42;9;2;2825;3;9;8
2018/19;Bayern Munich;Player_302;30;12;19;85;204;48;7;1;2848;7;0;4
2022/23;Juventus;Player_303;8;15;11;21;692;7;2;1;328;3;4;12
2016/17;Barcelona;Player_304;22;27;17;20;915;5;6;1;2275;13;5;10
2022/23;Juventus;Player_305;10;4;19;40;404;33;9;2;3028;4;8;12
2019/20;Paris Saint-Germain;Player_306;1;22;14;59;457;5;0;0;1335;14;1;11
2018/19;Barcelona;Player_307;11;24;8;25;685;49;8;1;3342;5;5;9
2018/19;Paris Saint-Germain;Player_308;24;1;12;64;547;30;0;1;1316;12;6;8
2017/18;Real Madrid;Player_309;23;3;13;18;744;38;7;2;1463;1;6;13
2019/20;Bayern Munich;Player_310;14;25;1;11;722;31;0;0;725;1;2;1
2021/22;Real Madrid;Player_311;6;8;18;50;124;43;2;0;2683;7;8;0
2022/23;Chelsea;Player_312;5;19;17;93;679;18;4;0;3499;10;5;5
2018/19;Paris Saint-Germain;Player_313;27;8;4;92;867;28;5;2;1380;9;0;9
2020/21;Chelsea;Player_314;5;15;9;98;133;27;0;0;442;1;0;4
2021/22;Manchester United;Player_315;30;26;3;21;715;17;5;1;813;0;0;13
2017/18;Barcelona;Player_316;16;29;4;30;153;49;0;0;1509;4;2;13
2019/20;Chelsea;Player_317;1;11;7;32;365;34;5;0;1742;1;2;8
2018/19;Manchester United;Player_318;27;13;11;62;841;34;6;1;3367;3;0;6
2019/20;Juventus;Player_319;27;25;8;54;399;8;0;2;3584;7;0;9
2021/22;Liverpool;Player_320;29;15;5;52;741;12;7;1;3500;9;5;5
2018/19;Chelsea;Player_321;8;4;9;77;850;42;1;0;128;11;8;12
2017/18;Chelsea;Player_322;21;27;8;53;457;49;3;1;2289;14;3;14
2018/19;Chelsea;Player_323;30;2;4;53;303;9;6;1;167;9;6;8
2016/17;Liverpool;Player_324;14;5;7;89;952;40;4;0;695;6;6;14
2021/22;Liverpool;Player_325;39;5;8;95;259;26;3;0;2013;6;2;2
2018/19;Chelsea;Player_326;11;24;12;69;853;26;6;0;3014;2;9;9
2020/21;Juventus;Player_327;8;18;11;71;915;21;1;1;1637;13;8;0
2017/18;Liverpool;Player_328;5;25;1;33;992;13;0;1;2384;13;3;13
2020/21;Paris Saint-Germain;Player_329;16;10;1;59;513;38;3;1;1422;6;2;10
2017/18;Barcelona;Player_330;8;27;11;77;456;42;4;0;792;9;2;12
2021/22;Paris Saint-Germain;Player_331;11;11;2;44;785;21;1;0;1877;13;7;6
