Temporada;Equipo;Jugador;Partidos_Jugados;Goles;Asistencias;Disparos;Pases_completados;Tacles;Amarillas;Rojas;Minutos_jugados;Fueras_de_juego;Faltas;Porterias_a_cero
2020/21;Manchester United;E. Viš?a;11;23;6;90;948;18;1;0;2134;8;2;9
2016/17;Liverpool;S. Gnabry;22;14;12;14;953;49;8;2;1107;6;5;9
2018/19;Barcelona;M. Kova?i?;23;1;19;25;662;28;7;1;1298;6;4;2
2017/18;Manchester United;William Carvalho;35;13;12;83;340;25;4;2;2979;10;9;8
2017/18;Paris Saint-Germain;Felipe;17;1;2;39;205;25;5;0;447;11;6;12
2016/17;Bayern Munich;Y. Carrasco;2;26;6;28;595;16;8;2;3229;12;0;6
2018/19;Juventus;Lucas Vázquez;20;22;4;66;677;22;4;1;673;9;1;6
2017/18;Liverpool;Q. Promes;18;16;4;93;762;30;0;2;1288;9;9;5
2018/19;Chelsea;L. Goretzka;26;2;10;95;401;48;1;1;144;0;8;11
2017/18;Chelsea;A. Rabiot;6;27;13;51;243;28;2;0;665;2;2;10
2022/23;Paris Saint-Germain;A. Romagnoli;34;18;1;48;951;16;0;1;772;14;9;0
2021/22;Chelsea;João Cancelo;21;9;13;63;359;14;4;2;2224;4;7;3
2019/20;Manchester United;Anderson Talisca;8;7;10;83;315;36;2;0;1500;0;2;7
2019/20;Real Madrid;K. Coman;8;22;19;66;360;17;4;0;1587;10;1;12
2020/21;Chelsea;T. Lemar;24;6;7;26;973;9;1;1;2856;4;8;3
2017/18;Paris Saint-Germain;J. Tah;4;4;12;38;257;26;9;0;2595;8;8;6
2017/18;Manchester United;M. Politano;14;26;7;84;672;23;8;2;2946;3;5;13
2020/21;Manchester United;C. Lenglet;32;26;6;42;484;35;1;2;329;6;2;8
2017/18;Juventus;Pau López;9;5;12;73;443;39;1;1;2409;9;5;11
2016/17;Paris Saint-Germain;H. Lozano;29;0;0;34;579;22;3;0;1907;3;8;2
2020/21;Bayern Munich;Malcom;25;11;3;74;945;33;6;0;1558;9;1;10
2017/18;Juventus;L. Torreira;7;12;1;48;203;39;2;2;1899;7;0;13
2021/22;Paris Saint-Germain;Gonçalo Guedes;37;14;6;67;447;12;3;2;1168;4;0;2
2020/21;Barcelona;G. Lo Celso;29;15;14;91;175;49;7;1;895;3;9;9
2022/23;Bayern Munich;Fabián;29;23;18;55;850;11;0;1;3272;12;3;13
2018/19;Paris Saint-Germain;F. de Jong;6;24;13;59;672;18;7;0;426;2;9;6
2018/19;Bayern Munich;Raphaelito Anjos;16;3;3;71;304;44;5;1;2585;14;1;14
2022/23;Chelsea;Juiano Mestres;10;22;11;48;776;23;2;1;241;12;5;9
2017/18;Bayern Munich;Rosberto Dourado;36;0;0;16;495;34;6;0;701;3;3;11
2018/19;Paris Saint-Germain;Arthur;32;19;3;69;984;17;2;2;875;1;3;6
2022/23;Paris Saint-Germain;Rodri;16;2;19;50;495;49;9;2;1497;4;8;1
2021/22;Real Madrid;M. Parolo;1;7;5;33;919;28;8;2;2766;5;7;11
2017/18;Juventus;M. Kruse;33;4;12;33;203;26;6;0;3148;0;5;5
2021/22;Paris Saint-Germain;J. Henderson;38;24;2;55;181;27;0;2;3081;4;5;10
2016/17;Manchester United;N. Gaitán;3;15;7;49;677;22;5;2;344;6;6;6
2021/22;Liverpool;M. Arnautovi?;10;18;6;41;271;7;7;0;1735;2;0;7
2020/21;Real Madrid;S. Giovinco;32;1;4;75;821;9;2;2;3213;14;8;10
2019/20;Paris Saint-Germain;G. Sigurðsson;24;4;15;11;386;21;5;1;2263;11;6;3
2021/22;Juventus;Giuliano;25;5;19;49;831;24;8;0;1615;6;7;2
2022/23;Juventus;P. Gulácsi;26;9;16;42;880;18;6;2;2000;10;6;12
2022/23;Bayern Munich;Luiz Gustavo;1;19;17;43;153;27;4;1;2027;7;9;13
2016/17;Paris Saint-Germain;K. Trippier;29;2;1;76;403;13;5;1;2714;1;2;2
2022/23;Chelsea;A. Ramsey;16;15;0;84;721;23;7;2;1639;10;8;6
2016/17;Chelsea;M. Balotelli;3;19;13;88;962;7;5;2;2887;7;8;14
2016/17;Liverpool;Marlos;14;7;3;48;569;5;4;2;913;3;5;4
2018/19;Paris Saint-Germain;Taison;25;25;7;25;509;48;0;1;1364;11;3;7
2016/17;Barcelona;G. Bonaventura;39;22;4;81;228;40;3;1;2353;2;7;13
2019/20;Juventus;G. Kondogbia;14;11;16;19;729;44;2;1;3526;14;6;8
2017/18;Real Madrid;J. Roussillon;20;19;18;52;472;17;4;2;2772;12;0;12
2016/17;Chelsea;S. Zaza;6;17;11;40;251;21;0;0;1324;1;1;8
2020/21;Barcelona;S. Vrsaljko;6;10;18;13;528;14;4;0;2404;12;6;7
2021/22;Manchester United;C. Kramer;21;25;2;36;815;48;5;1;949;8;8;11
2022/23;Paris Saint-Germain;B. Mendy;29;0;6;75;432;15;9;0;380;13;2;14
2016/17;Bayern Munich;M. Sabitzer;38;12;11;32;506;36;4;1;2256;13;5;1
2017/18;Bayern Munich;M. Nastasi?;1;25;6;60;824;5;0;0;187;5;9;7
2018/19;Barcelona;A. Plea;18;13;3;40;115;26;1;0;1659;2;3;7
2020/21;Barcelona;M. Ginter;17;15;18;59;669;16;8;2;168;5;8;14
2017/18;Chelsea;Gerard Moreno;1;22;8;42;206;13;7;0;3202;12;6;7
2021/22;Barcelona;A. Doucouré;34;15;17;65;721;37;1;2;1198;9;6;8
2022/23;Bayern Munich;R. Guerreiro;11;27;14;59;755;36;1;2;1843;2;4;8
2021/22;Juventus;Ricardo Pereira;13;14;3;45;148;49;6;1;1143;11;5;2
2022/23;Barcelona;Samu Castillejo;25;26;2;36;284;31;0;1;209;6;8;5
2022/23;Liverpool;J. Brandt;25;18;7;26;621;29;1;0;394;11;7;5
2017/18;Juventus;N. Pépé;26;3;12;36;541;8;1;2;1732;2;3;4
2022/23;Paris Saint-Germain;S. Bergwijn;33;4;8;83;871;26;8;2;1951;13;8;12
2018/19;Liverpool;A. Onana;17;21;11;94;555;8;4;0;1726;2;1;8
2022/23;Manchester United;F. Balbuena;39;17;6;86;126;41;0;1;768;10;8;12
2017/18;Liverpool;André Silva;1;17;4;75;644;46;7;0;2284;7;7;4
2022/23;Paris Saint-Germain;Oyarzabal;18;29;13;47;232;29;8;0;532;10;0;0
2016/17;Paris Saint-Germain;Everton Andrão;17;0;3;15;208;20;9;2;1558;10;8;8
2017/18;Barcelona;Welington Dano;39;20;3;18;819;45;9;0;2814;9;5;2
2021/22;Real Madrid;Richarlison;28;3;1;53;567;16;5;1;1073;7;7;4
2017/18;Juventus;Odriozola;22;2;10;88;536;5;1;2;1591;13;5;8
2016/17;Manchester United;Carlos Soler;35;8;7;16;228;49;0;0;1011;2;1;0
2020/21;Barcelona;H. Aouar;27;28;18;21;941;5;9;0;3541;14;9;3
2019/20;Juventus;T. Ndombele;23;5;9;29;158;46;5;2;2487;7;5;13
2016/17;Real Madrid;M. Gómez;34;4;3;55;510;40;7;1;2294;8;3;10
2016/17;Real Madrid;Joaquín;31;27;19;76;158;36;1;2;534;13;6;3
2021/22;Paris Saint-Germain;J. Mathieu;38;3;2;50;480;47;0;1;1283;13;8;13
2018/19;Juventus;J. Matip;12;23;11;36;695;22;5;1;3116;14;0;10
2017/18;Liverpool;S. Aurier;28;29;8;14;212;7;8;0;2430;11;9;10
2016/17;Juventus;J. Guilavogui;17;15;12;51;639;37;3;0;3479;3;2;6
2018/19;Liverpool;A. Oxlade-Chamberlain;26;10;11;99;714;5;8;2;1712;7;0;5
2018/19;Juventus;M. Ryan;6;6;18;86;683;13;0;2;378;13;8;14
2017/18;Liverpool;V. Aboubakar;26;13;17;59;343;23;1;2;755;12;2;9
2019/20;Liverpool;L. Muriel;26;15;1;72;596;23;6;2;1885;7;9;9
2018/19;Real Madrid;D. Vida;13;15;19;79;540;22;8;2;374;8;1;7
2018/19;Liverpool;Ibai Gómez;20;18;0;91;507;22;8;1;3415;10;2;8
2022/23;Liverpool;Cristian Tello;8;7;3;18;484;46;6;2;2423;7;5;11
2016/17;Juventus;Ismaily;10;19;1;79;786;27;0;2;2006;10;5;11
2018/19;Paris Saint-Germain;A. Mandi;4;8;7;32;952;8;9;0;2401;7;5;0
2021/22;Bayern Munich;C. T?t?ru?anu;39;7;19;82;159;14;9;2;157;2;0;5
2016/17;Manchester United;J. Murillo;18;7;2;56;883;27;0;2;3218;9;5;5
2017/18;Chelsea;E. Dier;32;17;4;95;187;44;8;1;2882;4;0;10
2022/23;Bayern Munich;J. Butland;8;9;12;21;428;28;3;1;1181;4;3;8
2018/19;Real Madrid;S. Sorrentino;15;27;19;11;868;25;6;2;3532;2;7;12
2020/21;Manchester United;W. Rooney;10;8;1;22;928;38;6;1;1502;13;7;9
2020/21;Paris Saint-Germain;Moyá;18;26;7;22;998;7;8;2;1301;10;2;8
2019/20;Barcelona;L. López;33;7;13;33;238;42;2;1;3257;1;6;14
2020/21;Barcelona;J. Mascherano;20;22;10;65;176;29;6;0;3422;6;4;1
2022/23;Real Madrid;Raffael;13;22;19;66;568;48;7;2;2233;3;6;6
2018/19;Barcelona;Diego López;15;6;16;71;620;47;4;2;3043;10;0;0
2018/19;Barcelona;Juanfran;28;0;2;65;960;34;1;1;990;13;1;2
2020/21;Real Madrid;I. Denisov;31;25;3;45;199;47;5;2;3170;8;2;6
2018/19;Juventus;I. Akinfeev;24;25;6;92;907;8;8;2;355;9;4;11
2018/19;Chelsea;A. Gignac;10;12;14;72;588;12;2;2;2991;3;2;9
2020/21;Chelsea;A. Granqvist;26;28;0;32;875;48;2;0;676;3;0;5
2020/21;Bayern Munich;Manuel Fernandes;12;24;11;58;638;21;4;1;2061;9;6;5
2018/19;Barcelona;Dante;32;7;5;36;896;19;2;0;3389;10;9;3
2020/21;Chelsea;L. Perrin;32;22;11;51;205;34;5;2;2689;3;3;5
2021/22;Chelsea;Borja Valero;7;21;19;56;106;44;4;2;2657;13;9;14
2016/17;Real Madrid;A. Januzaj;2;27;2;46;826;43;0;2;448;12;7;11
2018/19;Paris Saint-Germain;J. Hector;27;19;9;62;231;48;4;1;2154;12;7;14
2017/18;Liverpool;M. Dabbur;12;17;15;69;699;15;7;1;1990;10;6;11
2018/19;Barcelona;Óliver Torres;22;19;17;28;644;31;6;2;3137;6;7;8
2018/19;Manchester United;Y. Bounou;19;13;14;23;141;17;1;0;3162;6;4;7
2019/20;Real Madrid;J. Hofmann;29;26;3;58;947;9;9;2;301;14;0;8
2018/19;Juventus;Otávio;34;25;16;54;154;32;3;1;3404;8;0;13
2021/22;Manchester United;Jonny;20;7;18;37;580;27;0;0;2143;5;2;5
2021/22;Liverpool;L. Dendoncker;1;8;17;92;972;43;4;2;2013;7;6;0
2021/22;Bayern Munich;R. Zobnin;5;25;0;51;933;8;1;0;2981;5;9;1
2018/19;Paris Saint-Germain;Ricardo Horta;22;19;13;79;717;17;8;0;869;3;9;13
2018/19;Chelsea;Thiago Mendes;18;5;11;76;757;8;2;0;960;4;7;9
2018/19;Real Madrid;J. Lerma;9;18;8;14;442;19;0;1;1750;4;9;3
2019/20;Paris Saint-Germain;J. Gbamin;16;3;1;10;971;5;8;0;2568;8;2;3
2018/19;Real Madrid;I. Marcone;35;17;15;78;272;9;4;0;1217;12;0;2
2018/19;Bayern Munich;D. Benedetto;23;24;0;30;354;49;3;1;2374;1;5;9
2017/18;Chelsea;M. Hitz;27;22;14;74;405;12;2;2;1188;9;3;2
2022/23;Chelsea;N. Clyne;15;21;18;98;810;25;0;2;1581;1;8;5
2016/17;Bayern Munich;A. Ljaji?;35;1;12;71;845;25;9;0;1042;9;0;3
2019/20;Barcelona;J. Guðmundsson;26;3;16;59;655;26;9;1;1325;4;2;0
2017/18;Barcelona;Elkeson;19;14;17;87;676;9;4;1;1968;7;1;1
2016/17;Bayern Munich;Kike García;10;24;17;98;423;11;8;0;2784;11;5;1
2020/21;Manchester United;Escudero;4;27;6;14;788;45;0;1;2478;4;5;10
2018/19;Bayern Munich;Herrerín;16;0;13;67;597;30;2;0;3128;7;8;10
2018/19;Manchester United;Víctor Ruiz;23;20;5;24;691;43;1;1;2172;9;1;1
2020/21;Liverpool;G. Medel;19;27;18;74;883;17;6;1;2835;6;0;14
2017/18;Paris Saint-Germain;Y. Belhanda;3;29;19;63;103;40;4;0;1122;14;9;0
2018/19;Bayern Munich;Hugo Mallo;11;19;3;36;845;39;1;0;1619;10;2;10
2018/19;Juventus;Borja García;25;1;17;99;985;47;9;0;488;0;6;3
2016/17;Real Madrid;W. Khazri;20;1;7;86;734;20;6;0;1532;9;2;6
2016/17;Paris Saint-Germain;P. Jones;6;3;8;55;518;43;7;0;981;1;1;5
2017/18;Chelsea;A. Finnbogason;35;23;10;30;916;45;3;0;2228;12;4;0
2022/23;Real Madrid;Vinícius Júnior;32;8;5;24;464;16;1;0;2599;11;4;10
2021/22;Manchester United;Junior Firpo;28;15;2;33;484;7;1;1;2939;3;9;9
2017/18;Real Madrid;E. Belözo?lu;39;7;18;11;472;9;8;2;2263;0;9;8
2020/21;Manchester United;Fernando Torres;38;1;4;59;487;49;5;2;135;1;7;10
2021/22;Chelsea;B. Schweinsteiger;1;25;17;76;283;28;3;1;2380;11;1;11
2022/23;Paris Saint-Germain;B. Y?lmaz;12;3;9;86;380;22;2;0;1384;5;8;3
2019/20;Paris Saint-Germain;M. Gómez;39;4;1;78;595;32;5;1;1270;8;7;1
2017/18;Chelsea;A. Young;2;6;4;68;237;13;2;1;3012;3;0;4
2021/22;Juventus;R. Babel;36;0;7;29;606;28;4;0;713;13;9;9
2016/17;Barcelona;B. Costil;17;21;7;35;838;12;1;0;1978;4;0;0
2019/20;Paris Saint-Germain;S. Kalou;31;2;0;47;997;49;6;1;326;2;7;4
2017/18;Chelsea;E. Lavezzi;3;4;6;92;674;26;4;1;2007;5;7;5
2020/21;Juventus;H. Ben Arfa;12;23;2;20;495;22;3;1;2183;9;0;10
2021/22;Chelsea;B. Foster;34;28;10;40;853;8;8;1;1992;1;6;14
2017/18;Barcelona;T. Heaton;37;13;6;89;414;27;5;0;776;6;4;3
2016/17;Juventus;Charles;11;7;10;56;858;17;3;0;3457;7;1;3
2019/20;Liverpool;G. Cahill;30;3;6;42;947;45;1;0;224;3;5;14
2017/18;Real Madrid;A. Iwobi;30;5;7;22;316;43;6;2;138;12;4;12
2016/17;Real Madrid;R. Loftus-Cheek;32;4;3;51;725;9;0;2;1442;7;0;7
2016/17;Juventus;A. Selikhov;21;22;11;84;595;19;9;0;1182;14;2;8
2021/22;Bayern Munich;J. Mojica;3;15;11;98;797;21;4;1;611;6;9;13
2018/19;Bayern Munich;W. Barrios;29;11;2;19;214;32;1;2;441;1;4;7
2018/19;Real Madrid;C. Izquierdoz;7;29;13;16;803;32;1;2;2862;6;5;10
2021/22;Bayern Munich;W. Benítez;30;11;11;77;365;5;9;1;1655;6;9;8
2020/21;Paris Saint-Germain;N. Maksimovi?;33;3;5;67;725;46;0;1;1123;6;4;6
2019/20;Juventus;A. Mitrovi?;19;27;8;74;445;45;9;2;2201;2;4;1
2020/21;Bayern Munich;M. Sportiello;3;28;9;51;975;19;3;1;3038;12;1;14
2019/20;Liverpool;Capa;2;3;1;85;138;48;1;1;1797;12;9;12
2016/17;Manchester United;Marcelo Goiano;21;13;0;14;702;13;3;0;2974;9;6;6
2022/23;Barcelona;Y. Tielemans;23;29;2;38;643;34;4;2;1053;11;3;3
2017/18;Bayern Munich;S. Lobotka;29;9;9;21;677;41;5;1;3597;4;6;0
2020/21;Bayern Munich;M. Philipp;24;28;5;62;804;37;4;0;1751;3;4;2
2021/22;Chelsea;L. Dubois;34;27;18;40;638;48;7;1;2286;12;8;11
2020/21;Barcelona;L. Dunk;18;8;7;37;175;9;0;1;2759;6;3;8
2016/17;Barcelona;C. Schindler;38;16;2;81;808;20;6;0;726;11;0;2
2019/20;Paris Saint-Germain;Y. Konoplyanka;33;22;3;78;113;20;3;2;2114;6;6;2
2018/19;Manchester United;Pedro Mendes;26;19;1;12;844;21;2;1;2742;5;9;11
2021/22;Real Madrid;R. Saponara;23;16;9;17;513;34;2;0;913;3;9;13
2019/20;Real Madrid;L. Kurzawa;6;16;15;60;128;24;1;2;2566;14;4;8
2018/19;Real Madrid;M. Hinteregger;10;7;17;84;212;39;8;0;1389;3;8;6
2021/22;Real Madrid;D. da Costa;30;29;0;99;866;28;2;1;1736;0;3;0
2017/18;Liverpool;Fernando;18;2;16;18;512;29;1;1;676;2;6;12
2022/23;Manchester United;W. Boly;14;29;5;88;389;13;8;1;2411;14;1;8
2016/17;Manchester United;A. Schwolow;22;22;3;53;478;24;8;1;3040;0;9;14
2022/23;Bayern Munich;G. Defrel;7;16;11;14;739;24;5;0;1970;10;0;8
2020/21;Real Madrid;Álvaro;26;10;5;62;940;39;8;0;102;11;6;13
2019/20;Paris Saint-Germain;L. Bittencourt;22;22;3;31;514;48;7;1;2988;11;7;8
2018/19;Juventus;A. Carrillo;28;13;9;85;394;16;7;1;1174;13;7;14
2019/20;Manchester United;M. Elyounoussi;13;28;13;92;185;14;1;0;1121;10;3;11
2020/21;Bayern Munich;O. Karnezis;10;21;3;97;675;36;0;0;3329;13;9;2
2018/19;Barcelona;De Marcos;11;29;0;13;746;26;2;2;2600;3;9;5
2019/20;Liverpool;R. Cabella;14;1;8;70;208;6;5;1;148;8;8;2
2018/19;Barcelona;J. Hart;8;8;3;44;124;29;2;1;1727;0;7;12
2017/18;Manchester United;Jurado;9;22;12;59;354;29;1;2;3382;13;7;10
2016/17;Bayern Munich;E. Hernández;15;22;11;15;605;12;7;2;401;12;0;10
2016/17;Manchester United;D. Ginczek;6;2;8;42;368;30;5;2;390;14;1;13
2021/22;Liverpool;Lucas Pérez;28;26;8;78;178;44;6;2;2692;14;9;8
2021/22;Bayern Munich;J. Farfán;38;8;5;63;111;42;4;1;734;4;0;7
2020/21;Liverpool;A. Begovi?;28;1;19;67;948;20;9;2;2147;6;3;1
2018/19;Chelsea;Hilton;25;1;6;16;316;7;9;2;1208;5;5;7
2020/21;Chelsea;J. Baumgartlinger;21;26;18;32;917;21;7;2;1916;12;6;12
2016/17;Juventus;Granero;6;14;11;59;793;6;8;1;2408;14;7;8
2021/22;Bayern Munich;Z. Junuzovi?;26;12;3;21;555;11;1;2;991;6;0;14
2021/22;Juventus;V. Moses;34;11;12;11;484;6;8;1;1986;6;7;4
2019/20;Manchester United;M. Debuchy;23;15;1;71;131;38;6;1;854;1;6;1
2020/21;Paris Saint-Germain;G. Maripán;33;29;17;90;624;45;3;0;186;10;0;11
2019/20;Real Madrid;Iván Cuéllar;14;2;10;94;276;8;9;1;1427;7;5;13
2021/22;Paris Saint-Germain;F. Johnson;9;2;3;60;286;28;6;1;2770;8;3;9
2018/19;Paris Saint-Germain;Aarón Martín;36;1;9;72;343;9;6;1;3339;4;6;12
2020/21;Manchester United;G. Pereiro;32;12;11;41;635;39;5;1;3463;1;5;9
2022/23;Bayern Munich;B. Moukandjo;23;24;3;24;620;39;4;0;3585;5;9;7
2022/23;Real Madrid;M. Harnik;35;23;8;58;772;19;6;1;405;3;2;5
2018/19;Liverpool;J. Ward-Prowse;11;4;14;35;459;13;7;1;2274;12;1;11
2018/19;Real Madrid;R. Alessandrini;36;0;13;85;762;27;4;1;400;6;6;9
2017/18;Juventus;Manu García;24;20;8;41;488;20;7;0;2311;2;9;10
2016/17;Chelsea;M. Antonio;17;14;12;28;374;15;3;2;2671;13;9;3
2017/18;Liverpool;Adrien Silva;17;27;5;92;473;5;3;2;1440;0;5;3
2020/21;Real Madrid;S. Cook;29;20;3;92;900;19;8;2;2290;2;9;14
2022/23;Liverpool;B. Mee;31;8;1;29;967;20;0;2;501;0;5;2
2019/20;Juventus;Adriano;15;25;14;84;413;11;2;0;1284;2;4;11
2021/22;Bayern Munich;J. Lens;24;18;9;71;532;32;2;2;804;13;3;7
2022/23;Liverpool;S. Rondón;16;23;2;80;607;31;6;2;1823;0;0;9
2019/20;Chelsea;Andreas Pereira;30;4;9;44;538;21;5;2;2360;8;9;11
2020/21;Manchester United;V. Ibiševi?;14;9;4;13;702;11;2;2;2989;2;8;7
2022/23;Chelsea;L. Ocampos;21;14;17;68;829;45;1;1;398;10;5;0
2019/20;Manchester United;N. Müller;29;23;13;54;474;15;8;2;1251;7;1;7
2016/17;Bayern Munich;Simão Acunha;7;27;0;28;129;17;3;1;2875;3;9;2
2016/17;Barcelona;J. Calleri;39;27;18;39;848;18;4;1;420;11;6;1
2018/19;Barcelona;A. Jahanbakhsh;25;23;5;22;668;20;4;1;2147;10;7;14
2022/23;Bayern Munich;A. Prijovi?;38;3;18;63;739;18;9;2;165;10;8;0
2020/21;Real Madrid;Fabricio;23;25;4;47;195;45;5;0;1734;14;6;3
2019/20;Manchester United;M. Elneny;8;3;9;32;886;39;9;1;3281;6;9;9
2019/20;Manchester United;Jorge Meré;38;7;8;13;617;30;3;1;3323;7;1;1
2016/17;Liverpool;Wilson Eduardo;23;6;18;89;731;32;0;2;3381;1;3;14
2018/19;Manchester United;Álex Remiro;35;14;11;68;932;27;5;2;2375;8;4;1
2019/20;Barcelona;T. Gutiérrez;14;22;16;98;609;46;9;2;1279;2;3;9
2017/18;Juventus;A. Pyatov;10;27;8;37;367;15;1;2;1668;12;8;12
2016/17;Bayern Munich;Diego Llorente;11;19;10;60;960;30;6;1;747;14;7;3
2019/20;Barcelona;I. Abate;12;10;9;63;949;22;0;0;862;1;7;12
2021/22;Paris Saint-Germain;T. Vermaelen;23;22;13;39;193;36;4;1;1001;8;0;8
2019/20;Bayern Munich;N. Füllkrug;30;8;13;85;600;5;7;2;2852;14;5;8
2018/19;Bayern Munich;Pedro Obiang;30;2;7;60;451;28;7;2;736;6;9;4
2016/17;Liverpool;Wallace;31;20;8;59;375;26;9;1;424;6;5;3
2019/20;Chelsea;Djaniny;17;0;8;60;260;29;4;2;1824;7;2;1
2021/22;Chelsea;Roberto;8;21;5;27;624;38;1;1;167;10;8;1
2017/18;Paris Saint-Germain;S. Tasci;13;20;7;64;618;10;7;1;810;6;9;2
2019/20;Manchester United;L. Schøne;39;12;19;37;965;39;9;0;2984;14;0;3
2020/21;Liverpool;J. Defoe;26;24;6;84;452;23;6;2;273;4;7;8
2016/17;Real Madrid;V. Babacan;19;25;15;17;675;31;8;1;2895;9;2;11
2018/19;Manchester United;O. Ighalo;33;1;16;12;901;42;9;2;2825;3;9;8
2018/19;Bayern Munich;A. Schürrle;30;12;19;85;204;48;7;1;2848;7;0;4
2022/23;Juventus;E. Skhiri;8;15;11;21;692;7;2;1;328;3;4;12
2016/17;Barcelona;W. Anton;22;27;17;20;915;5;6;1;2275;13;5;10
2022/23;Juventus;R. Palacio;10;4;19;40;404;33;9;2;3028;4;8;12
2019/20;Paris Saint-Germain;K. Lasagna;1;22;14;59;457;5;0;0;1335;14;1;11
2018/19;Barcelona;D. Cvitanich;11;24;8;25;685;49;8;1;3342;5;5;9
2018/19;Paris Saint-Germain;S. De Maio;24;1;12;64;547;30;0;1;1316;12;6;8
2017/18;Real Madrid;S. Terodde;23;3;13;18;744;38;7;2;1463;1;6;13
2019/20;Bayern Munich;J. De Guzmán;14;25;1;11;722;31;0;0;725;1;2;1
2021/22;Real Madrid;R. Civelli;6;8;18;50;124;43;2;0;2683;7;8;0
