Categoria de Producto Visaulizado;Ciudad;Compra_Completada;Descuento_Aplicado;Tipo_de_Dispositivo;Sistema_Operativo_Dispositivo;País;Miembro_Lealtad;Método_de_Pago;ID_Usuario;Género;Fuente_Referencia;Duración de la sesión en minutos;Edad;Estimado Días de Entrega;Hora_Compra;Porcentaje_Descuento;Productos_Visualizados;Rango_Precio_Producto;Reseñas enviadas por el usuario.;Cantidad_Gastada
Ropa;Brasilia;No;No;Escritorio;MacOS;Brazil;Sí;Tarjeta de Regalo;U0501;Otro;Google;46;21;21;1;0;4;1083;0;0
Ropa;Brasilia;No;No;Tableta;Android;Brazil;No;Tarjeta de Crédito;U0075;Masculino;Directo;74;48;8;6;18;23;44398;1;0
Ropa;Brasilia;No;No;Tableta;MacOS;Brazil;Sí;PayPal;U0614;Femenino;Google;44;64;30;10;45;45;2155;4;55724
Ropa;Brasilia;No;Sí;Escritorio;iOS;Brazil;No;Tarjeta de Regalo;U0676;Masculino;Redes Sociales;160;64;15;22;0;15;12823;8;43653
Ropa;Brasilia;No;Sí;Escritorio;MacOS;Brazil;No;PayPal;U0646;Masculino;Google;165;48;14;7;40;36;3693;0;23284
Ropa;Brasilia;No;Sí;Escritorio;MacOS;Brazil;No;PayPal;U1043;Masculino;Correo Electrónico;7;26;5;7;0;3;1475;8;98604
Ropa;Brasilia;No;Sí;Escritorio;MacOS;Brazil;Sí;Tarjeta de Regalo;U0993;Masculino;Redes Sociales;40;62;16;6;33;1;4427;6;64844
Ropa;Brasilia;No;Sí;Escritorio;Windows;Brazil;No;Tarjeta de Regalo;U1352;Masculino;Otro;23;57;10;23;10;30;6315;6;0
Ropa;Brasilia;No;Sí;Escritorio;Windows;Brazil;Sí;PayPal;U0748;Masculino;Redes Sociales;28;44;23;8;50;7;41126;5;13317
Ropa;Brasilia;No;Sí;Móvil;Android;Brazil;Sí;Tarjeta de Regalo;U1162;Otro;Redes Sociales;94;64;9;9;0;10;30879;8;89632
Ropa;Brasilia;No;Sí;Móvil;MacOS;Brazil;Sí;Tarjeta de Crédito;U1243;Masculino;Correo Electrónico;106;49;22;4;0;44;39361;9;40651
Ropa;Brasilia;Sí;No;Móvil;Linux;Brazil;Sí;Criptomoneda;U0439;Otro;Directo;4;36;7;17;0;12;35214;3;4307
Ropa;Brasilia;Sí;No;Móvil;MacOS;Brazil;No;Tarjeta de Regalo;U0976;Femenino;Google;11;41;26;19;0;11;3677;8;0
Ropa;Brasilia;Sí;No;Móvil;Windows;Brazil;No;Criptomoneda;U1234;Femenino;Correo Electrónico;79;45;25;23;34;18;37346;6;0
Ropa;Brasilia;Sí;No;Móvil;Windows;Brazil;No;Tarjeta de Regalo;U0932;Otro;Directo;96;42;30;9;15;18;2646;4;0
Ropa;Brasilia;Sí;Sí;Escritorio;Android;Brazil;Sí;Criptomoneda;U1477;Otro;Google;82;29;21;10;0;33;13795;6;0
Ropa;Brasilia;Sí;Sí;Tableta;MacOS;Brazil;No;Tarjeta de Regalo;U1033;Otro;Otro;49;32;20;7;47;38;12064;1;0
Ropa;Brasilia;Sí;Sí;Tableta;Windows;Brazil;No;PayPal;U0774;Otro;Directo;111;26;24;23;47;38;42041;0;7051
Ropa;Brasilia;Sí;Sí;Tableta;Windows;Brazil;No;Tarjeta de Regalo;U0005;Otro;Google;103;25;20;18;7;49;10469;6;0
Ropa;Chicago;No;No;Escritorio;MacOS;USA;No;Criptomoneda;U1026;Masculino;Otro;35;37;11;18;1;10;6338;10;37421
Ropa;Chicago;No;Sí;Escritorio;MacOS;USA;No;Tarjeta de Regalo;U0955;Femenino;Otro;52;62;1;2;30;26;9196;10;13771
Ropa;Chicago;No;Sí;Escritorio;MacOS;USA;Sí;Tarjeta de Regalo;U0300;Otro;Otro;73;63;24;21;33;2;8544;10;0
Ropa;Chicago;No;Sí;Móvil;Linux;USA;Sí;Tarjeta de Crédito;U0175;Masculino;Otro;45;37;23;3;33;11;48214;5;43517
Ropa;Chicago;No;Sí;Tableta;Windows;USA;No;Criptomoneda;U1372;Otro;Google;38;59;26;23;0;2;15099;10;0
Ropa;Chicago;Sí;No;Escritorio;Android;USA;Sí;PayPal;U0060;Femenino;Redes Sociales;18;53;29;14;14;24;26157;6;23297
Ropa;Chicago;Sí;No;Escritorio;Windows;USA;No;Tarjeta de Crédito;U0218;Otro;Redes Sociales;159;61;25;5;7;21;3787;9;0
Ropa;Chicago;Sí;No;Escritorio;Windows;USA;Sí;Criptomoneda;U0245;Otro;Directo;71;20;1;6;23;33;20116;8;56782
Ropa;Chicago;Sí;No;Móvil;iOS;USA;Sí;Tarjeta de Crédito;U0964;Masculino;Correo Electrónico;13;21;7;15;0;15;31773;5;7562
Ropa;Chicago;Sí;No;Móvil;Linux;USA;Sí;Tarjeta de Crédito;U0171;Femenino;Directo;16;45;29;6;25;12;19619;7;40096
Ropa;Chicago;Sí;Sí;Escritorio;iOS;USA;No;Tarjeta de Crédito;U1216;Masculino;Redes Sociales;161;41;4;15;0;35;1944;6;0
Ropa;Chicago;Sí;Sí;Móvil;Android;USA;Sí;PayPal;U0896;Femenino;Directo;117;31;19;19;0;39;14064;9;0
Ropa;Chicago;Sí;Sí;Tableta;Android;USA;Sí;Tarjeta de Crédito;U1137;Femenino;Redes Sociales;105;53;15;5;33;37;29726;5;0
Ropa;Chicago;Sí;Sí;Tableta;Windows;USA;No;Tarjeta de Crédito;U0640;Femenino;Directo;172;24;16;22;6;5;45774;1;0
Ropa;Ciudad de MÇ¸xico;No;No;Móvil;Linux;Mexico;Sí;Tarjeta de Crédito;U1186;Otro;Correo Electrónico;16;54;10;5;30;18;43741;4;0
Ropa;Ciudad de MÇ¸xico;No;Sí;Móvil;Linux;Mexico;Sí;Tarjeta de Regalo;U0561;Masculino;Directo;1;49;30;3;0;40;33635;1;0
Ropa;Ciudad de MÇ¸xico;Sí;No;Escritorio;Android;Mexico;Sí;PayPal;U1471;Femenino;Redes Sociales;17;33;15;15;0;50;45046;7;49798
Ropa;Ciudad de MÇ¸xico;Sí;No;Móvil;Android;Mexico;Sí;Criptomoneda;U1158;Otro;Directo;130;57;9;6;0;26;20936;6;0
Ropa;Ciudad de MÇ¸xico;Sí;No;Móvil;Windows;Mexico;No;Tarjeta de Crédito;U1256;Femenino;Correo Electrónico;175;19;13;19;37;49;42696;8;2775
Ropa;Edimburgo;No;No;Escritorio;Linux;UK;No;Tarjeta de Regalo;U1418;Otro;Otro;155;41;3;2;16;47;16306;5;0
Ropa;Edimburgo;No;No;Tableta;iOS;UK;No;PayPal;U1463;Femenino;Redes Sociales;74;41;10;18;0;13;41497;3;84934
Ropa;Edimburgo;No;Sí;Escritorio;Android;UK;Sí;Tarjeta de Crédito;U0317;Femenino;Redes Sociales;159;34;12;16;0;23;41344;3;0
Ropa;Edimburgo;No;Sí;Escritorio;MacOS;UK;Sí;Tarjeta de Crédito;U0404;Femenino;Correo Electrónico;72;29;28;0;0;15;27372;2;0
Ropa;Edimburgo;No;Sí;Móvil;Android;UK;Sí;PayPal;U0491;Masculino;Google;153;22;14;2;19;36;36669;8;0
Ropa;Edimburgo;No;Sí;Móvil;iOS;UK;No;Tarjeta de Crédito;U1296;Femenino;Google;57;49;28;7;39;9;47982;10;65426
Ropa;Edimburgo;No;Sí;Tableta;Linux;UK;Sí;Tarjeta de Crédito;U0209;Masculino;Redes Sociales;34;19;18;4;48;6;4573;4;0
Ropa;Edimburgo;Sí;No;Escritorio;Linux;UK;Sí;Criptomoneda;U1357;Femenino;Google;44;26;22;5;0;46;22357;7;40251
Ropa;Edimburgo;Sí;No;Móvil;Android;UK;Sí;PayPal;U1099;Femenino;Directo;42;46;23;20;0;27;16176;0;0
Ropa;Edimburgo;Sí;Sí;Móvil;iOS;UK;Sí;Tarjeta de Crédito;U0375;Masculino;Correo Electrónico;98;40;26;18;0;28;2399;10;0
Ropa;Edimburgo;Sí;Sí;Móvil;Windows;UK;No;Criptomoneda;U0670;Masculino;Directo;179;55;12;14;41;24;14486;2;0
Ropa;Edimburgo;Sí;Sí;Tableta;Android;UK;Sí;Tarjeta de Regalo;U0128;Masculino;Directo;17;39;9;11;0;21;44807;0;0
Ropa;Guadalajara;No;No;Escritorio;Windows;Mexico;Sí;Tarjeta de Crédito;U0678;Femenino;Google;53;33;8;0;34;9;17044;3;0
Ropa;Guadalajara;No;No;Móvil;Linux;Mexico;No;Tarjeta de Crédito;U0273;Femenino;Google;30;22;16;2;5;25;45095;2;60829
Ropa;Guadalajara;No;No;Móvil;Linux;Mexico;No;Tarjeta de Regalo;U0223;Masculino;Directo;83;21;19;5;13;28;47471;8;19486
Ropa;Guadalajara;No;No;Móvil;MacOS;Mexico;Sí;PayPal;U1426;Femenino;Otro;15;52;16;7;0;15;826;0;22015
Ropa;Guadalajara;No;No;Tableta;Android;Mexico;Sí;PayPal;U0104;Femenino;Directo;144;28;2;9;0;19;18766;4;52366
Ropa;Guadalajara;No;Sí;Escritorio;Linux;Mexico;Sí;PayPal;U0846;Femenino;Redes Sociales;103;28;12;7;0;43;45112;8;0
Ropa;Guadalajara;No;Sí;Móvil;Linux;Mexico;No;PayPal;U0913;Femenino;Redes Sociales;151;62;4;6;19;8;2466;3;0
Ropa;Guadalajara;No;Sí;Móvil;MacOS;Mexico;No;Tarjeta de Crédito;U0057;Otro;Directo;76;52;21;15;10;33;44566;7;0
Ropa;Guadalajara;Sí;No;Escritorio;MacOS;Mexico;No;PayPal;U0567;Otro;Google;4;30;9;15;0;33;25268;6;44717
Ropa;Guadalajara;Sí;No;Tableta;iOS;Mexico;No;PayPal;U0132;Otro;Otro;8;52;26;12;39;42;47398;0;19777
Ropa;Guadalajara;Sí;Sí;Móvil;iOS;Mexico;No;Criptomoneda;U0422;Otro;Directo;129;25;6;8;45;3;39455;4;0
Ropa;Guadalajara;Sí;Sí;Móvil;iOS;Mexico;No;Tarjeta de Regalo;U0778;Otro;Correo Electrónico;114;30;21;3;0;15;27008;1;0
Ropa;Guadalajara;Sí;Sí;Móvil;Windows;Mexico;Sí;Criptomoneda;U0047;Otro;Google;133;26;15;16;28;26;13608;5;0
Ropa;Hamburgo;No;No;Escritorio;MacOS;Germany;No;Tarjeta de Crédito;U1172;Otro;Correo Electrónico;113;25;7;2;24;16;30769;5;0
Ropa;Hamburgo;No;No;Móvil;Linux;Germany;No;Tarjeta de Crédito;U1309;Femenino;Correo Electrónico;16;24;14;12;0;50;1086;10;0
Ropa;Hamburgo;No;Sí;Escritorio;Android;Germany;No;Tarjeta de Regalo;U1163;Otro;Google;93;57;28;3;11;35;3978;10;27826
Ropa;Hamburgo;No;Sí;Escritorio;Windows;Germany;No;Criptomoneda;U0580;Femenino;Directo;78;53;10;1;0;7;37591;8;0
Ropa;Hamburgo;No;Sí;Móvil;Android;Germany;No;Tarjeta de Regalo;U0911;Otro;Google;144;60;8;22;0;49;1324;4;0
Ropa;Hamburgo;No;Sí;Tableta;iOS;Germany;Sí;Criptomoneda;U0433;Femenino;Google;163;52;19;3;0;45;13343;3;3563
Ropa;Hamburgo;Sí;No;Escritorio;iOS;Germany;No;Tarjeta de Crédito;U1312;Femenino;Directo;54;38;5;21;0;39;25731;3;0
Ropa;Hamburgo;Sí;No;Escritorio;MacOS;Germany;Sí;Tarjeta de Crédito;U0190;Otro;Google;38;44;24;21;0;22;27472;2;43073
Ropa;Hamburgo;Sí;No;Móvil;iOS;Germany;Sí;PayPal;U1160;Masculino;Correo Electrónico;89;42;23;21;0;1;12965;4;0
Ropa;Hamburgo;Sí;No;Tableta;Android;Germany;Sí;Tarjeta de Crédito;U1498;Femenino;Directo;131;65;2;15;22;29;37145;5;87343
Ropa;Hamburgo;Sí;No;Tableta;Windows;Germany;No;Tarjeta de Regalo;U0944;Masculino;Correo Electrónico;4;64;26;1;0;16;48997;10;0
Ropa;Hamburgo;Sí;Sí;Escritorio;Linux;Germany;No;Criptomoneda;U0029;Masculino;Redes Sociales;146;42;26;4;12;6;24359;1;82202
Ropa;Hamburgo;Sí;Sí;Escritorio;Windows;Germany;No;Criptomoneda;U0348;Masculino;Otro;96;63;28;16;0;37;17313;6;27032
Ropa;Hamburgo;Sí;Sí;Móvil;MacOS;Germany;Sí;PayPal;U1127;Masculino;Redes Sociales;79;25;29;19;16;25;44941;6;0
Ropa;Hamburgo;Sí;Sí;Tableta;Windows;Germany;No;Tarjeta de Crédito;U0306;Otro;Otro;20;53;18;18;3;37;28834;0;0
Ropa;Londres;No;No;Tableta;iOS;UK;No;Tarjeta de Crédito;U1465;Masculino;Redes Sociales;145;25;15;22;13;33;44922;1;25743
Ropa;Londres;No;No;Tableta;Linux;UK;Sí;Tarjeta de Crédito;U1098;Masculino;Google;75;64;4;3;0;9;19201;0;13259
Ropa;Londres;No;No;Tableta;MacOS;UK;No;Tarjeta de Crédito;U0752;Masculino;Otro;92;58;8;19;15;5;6364;1;0
Ropa;Londres;No;Sí;Escritorio;Linux;UK;Sí;PayPal;U0470;Femenino;Google;38;46;21;11;6;31;46034;6;85105
Ropa;Londres;No;Sí;Móvil;Windows;UK;No;Criptomoneda;U0733;Otro;Directo;154;19;13;3;0;12;5205;10;0
Ropa;Londres;No;Sí;Tableta;Windows;UK;No;Criptomoneda;U0112;Masculino;Redes Sociales;132;56;3;8;15;5;19467;5;3332
Ropa;Londres;Sí;No;Escritorio;iOS;UK;Sí;PayPal;U1393;Otro;Correo Electrónico;43;62;9;8;0;6;947;2;0
Ropa;Londres;Sí;No;Escritorio;Linux;UK;No;PayPal;U0021;Otro;Google;122;47;9;16;43;25;3759;7;0
Ropa;Londres;Sí;No;Escritorio;Linux;UK;Sí;PayPal;U0158;Masculino;Redes Sociales;21;32;11;19;0;22;16373;1;0
Ropa;Londres;Sí;No;Móvil;iOS;UK;Sí;Tarjeta de Regalo;U1113;Otro;Directo;116;19;27;1;47;7;8304;0;38686
Ropa;Londres;Sí;No;Tableta;Android;UK;No;Tarjeta de Crédito;U1300;Masculino;Directo;125;21;20;17;0;25;29692;5;76481
Ropa;Londres;Sí;No;Tableta;iOS;UK;No;Tarjeta de Regalo;U0183;Otro;Otro;22;44;5;13;0;29;30498;3;0
Ropa;Londres;Sí;No;Tableta;Linux;UK;No;Tarjeta de Regalo;U0454;Femenino;Correo Electrónico;115;65;15;12;0;39;47311;5;0
Ropa;Londres;Sí;Sí;Escritorio;Android;UK;No;PayPal;U1147;Otro;Otro;121;55;20;10;0;45;20882;5;0
Ropa;Londres;Sí;Sí;Escritorio;Android;UK;Sí;Tarjeta de Crédito;U1406;Femenino;Otro;149;43;7;9;0;21;14391;3;67785
Ropa;Londres;Sí;Sí;Móvil;MacOS;UK;Sí;Tarjeta de Regalo;U0917;Masculino;Otro;129;32;27;21;43;22;11451;2;0
Ropa;Los Ángeles;No;No;Escritorio;Android;USA;No;Criptomoneda;U0509;Masculino;Google;54;37;20;14;12;28;33678;7;21171
Ropa;Los Ángeles;No;No;Escritorio;Android;USA;No;Tarjeta de Regalo;U0608;Masculino;Redes Sociales;127;52;11;20;9;25;2933;2;10077
Ropa;Los Ángeles;No;No;Escritorio;Linux;USA;No;PayPal;U0904;Femenino;Correo Electrónico;35;43;7;2;0;6;36153;3;53537
Ropa;Los Ángeles;No;No;Móvil;iOS;USA;Sí;Criptomoneda;U0532;Masculino;Directo;78;40;26;16;0;34;45108;1;21229
Ropa;Los Ángeles;No;No;Tableta;MacOS;USA;No;Tarjeta de Crédito;U0714;Femenino;Otro;60;58;18;22;8;7;11543;8;64614
Ropa;Los Ángeles;No;Sí;Escritorio;MacOS;USA;No;Criptomoneda;U0227;Masculino;Directo;116;41;12;11;0;42;35292;6;0
Ropa;Los Ángeles;No;Sí;Escritorio;Windows;USA;Sí;Criptomoneda;U1030;Otro;Correo Electrónico;100;34;7;8;19;21;6783;3;0
Ropa;Los Ángeles;Sí;No;Escritorio;Android;USA;Sí;Tarjeta de Crédito;U0446;Otro;Redes Sociales;86;40;16;23;0;26;2975;0;73926
Ropa;Los Ángeles;Sí;No;Escritorio;Windows;USA;No;Criptomoneda;U1455;Femenino;Redes Sociales;112;36;4;2;0;42;5006;3;0
Ropa;Los Ángeles;Sí;No;Móvil;Android;USA;Sí;Tarjeta de Regalo;U1161;Masculino;Google;56;50;25;13;10;24;49061;3;37995
Ropa;Los Ángeles;Sí;No;Móvil;iOS;USA;No;Criptomoneda;U0547;Otro;Redes Sociales;166;53;19;15;43;8;13503;1;94539
Ropa;Los Ángeles;Sí;No;Tableta;iOS;USA;No;Tarjeta de Regalo;U0020;Femenino;Correo Electrónico;134;61;9;21;0;49;40317;5;10702
Ropa;Los Ángeles;Sí;Sí;Escritorio;Android;USA;Sí;PayPal;U0706;Masculino;Redes Sociales;179;25;14;10;0;39;49324;6;7146
Ropa;Los Ángeles;Sí;Sí;Escritorio;MacOS;USA;No;Tarjeta de Regalo;U0349;Femenino;Directo;161;23;8;23;0;23;35543;2;0
Ropa;Los Ángeles;Sí;Sí;Móvil;iOS;USA;No;PayPal;U0430;Otro;Directo;179;49;29;17;48;4;29476;5;58464
Ropa;Lyon;No;No;Escritorio;Android;France;Sí;Tarjeta de Crédito;U0987;Femenino;Directo;52;55;9;9;0;2;5723;8;61995
Ropa;Lyon;No;No;Escritorio;iOS;France;No;PayPal;U1451;Masculino;Correo Electrónico;81;47;8;15;4;32;18996;7;0
Ropa;Lyon;No;No;Tableta;MacOS;France;Sí;Tarjeta de Crédito;U0414;Masculino;Google;54;39;6;9;0;40;41928;10;0
Ropa;Lyon;No;Sí;Escritorio;Android;France;Sí;PayPal;U0232;Masculino;Redes Sociales;96;28;21;7;0;32;9862;1;0
Ropa;Lyon;No;Sí;Escritorio;Windows;France;Sí;Tarjeta de Crédito;U1087;Femenino;Google;35;31;27;17;37;41;49792;0;58591
Ropa;Lyon;No;Sí;Tableta;MacOS;France;Sí;PayPal;U0876;Femenino;Directo;148;43;26;0;0;42;8501;7;0
Ropa;Lyon;Sí;No;Escritorio;Android;France;Sí;Tarjeta de Regalo;U1370;Femenino;Correo Electrónico;80;35;12;21;0;44;2212;6;13773
Ropa;Lyon;Sí;No;Escritorio;iOS;France;No;PayPal;U0927;Femenino;Directo;45;61;1;2;0;10;2082;10;0
Ropa;Lyon;Sí;No;Escritorio;Linux;France;No;Criptomoneda;U0361;Masculino;Redes Sociales;140;40;17;2;0;16;20533;1;0
Ropa;Lyon;Sí;No;Móvil;MacOS;France;Sí;Criptomoneda;U0525;Masculino;Redes Sociales;26;46;11;5;0;20;2851;7;0
Ropa;Lyon;Sí;No;Tableta;Android;France;No;Tarjeta de Crédito;U0651;Masculino;Correo Electrónico;11;27;11;5;0;25;37211;0;86841
Ropa;Lyon;Sí;Sí;Móvil;iOS;France;Sí;Tarjeta de Crédito;U0817;Femenino;Google;87;55;17;6;37;35;294;5;0
Ropa;Lyon;Sí;Sí;Móvil;Linux;France;No;Criptomoneda;U1215;Otro;Otro;32;61;4;1;32;1;13898;6;0
Ropa;Lyon;Sí;Sí;Móvil;Windows;France;No;Tarjeta de Regalo;U1048;Otro;Correo Electrónico;153;18;14;8;5;43;47572;0;0
Ropa;Lyon;Sí;Sí;Tableta;iOS;France;No;Tarjeta de Regalo;U0431;Otro;Otro;161;47;14;3;0;29;27607;10;7565
Ropa;Lyon;Sí;Sí;Tableta;iOS;France;Sí;Tarjeta de Crédito;U0984;Otro;Redes Sociales;37;32;29;19;32;31;16032;4;0
Ropa;Manchester;No;No;Escritorio;iOS;UK;No;Tarjeta de Regalo;U0892;Femenino;Redes Sociales;142;52;25;7;26;16;39713;8;0
Ropa;Manchester;No;No;Móvil;Android;UK;Sí;Tarjeta de Crédito;U0237;Femenino;Google;159;23;16;22;0;23;26165;5;69552
Ropa;Manchester;No;No;Móvil;iOS;UK;Sí;Criptomoneda;U0201;Otro;Otro;148;58;1;15;0;1;2463;9;0
Ropa;Manchester;No;No;Móvil;Windows;UK;Sí;Tarjeta de Crédito;U0181;Otro;Correo Electrónico;118;50;9;10;32;8;5181;8;0
Ropa;Manchester;No;No;Tableta;iOS;UK;No;Tarjeta de Crédito;U0264;Otro;Otro;171;52;11;11;0;49;35372;3;0
Ropa;Manchester;No;No;Tableta;MacOS;UK;No;Criptomoneda;U0185;Otro;Otro;180;58;22;1;15;12;3152;6;0
Ropa;Manchester;No;Sí;Escritorio;iOS;UK;No;PayPal;U0718;Masculino;Redes Sociales;15;26;12;1;0;9;11881;0;0
Ropa;Manchester;No;Sí;Móvil;Linux;UK;No;Tarjeta de Crédito;U1191;Femenino;Directo;66;40;26;21;0;50;1389;7;0
Ropa;Manchester;No;Sí;Móvil;Windows;UK;Sí;Tarjeta de Regalo;U1228;Masculino;Directo;13;24;14;23;46;45;3718;6;0
Ropa;Manchester;No;Sí;Tableta;Android;UK;No;Tarjeta de Regalo;U0586;Masculino;Redes Sociales;99;24;13;2;0;23;30938;1;25111
Ropa;Manchester;Sí;No;Escritorio;iOS;UK;No;Tarjeta de Regalo;U1131;Masculino;Correo Electrónico;50;21;24;8;38;2;6727;0;0
Ropa;Manchester;Sí;No;Móvil;Linux;UK;Sí;Tarjeta de Crédito;U0787;Femenino;Otro;26;56;25;5;35;22;44447;0;0
Ropa;Manchester;Sí;No;Tableta;Android;UK;Sí;Tarjeta de Regalo;U1224;Masculino;Google;114;39;28;15;13;5;6981;4;60489
Ropa;Manchester;Sí;Sí;Escritorio;Android;UK;No;Criptomoneda;U0372;Masculino;Directo;169;49;30;5;0;37;30901;4;7995
Ropa;Manchester;Sí;Sí;Escritorio;iOS;UK;Sí;Tarjeta de Crédito;U1310;Femenino;Redes Sociales;123;50;22;0;0;49;684;4;0
Ropa;Manchester;Sí;Sí;Móvil;Linux;UK;No;Tarjeta de Regalo;U0260;Otro;Otro;19;40;1;10;0;30;49254;7;78725
Ropa;Manchester;Sí;Sí;Móvil;Linux;UK;Sí;Criptomoneda;U0737;Femenino;Redes Sociales;164;22;3;14;34;22;4389;5;25915
Ropa;Manchester;Sí;Sí;Tableta;Linux;UK;No;Tarjeta de Regalo;U0170;Femenino;Directo;150;23;5;4;21;11;9979;0;47373
Ropa;Manchester;Sí;Sí;Tableta;MacOS;UK;Sí;Tarjeta de Crédito;U1141;Otro;Directo;116;44;30;18;18;48;39739;9;87682
Ropa;Marsella;No;No;Escritorio;Linux;France;Sí;Tarjeta de Crédito;U1210;Masculino;Google;125;44;4;18;0;50;9342;0;95449
Ropa;Marsella;No;No;Escritorio;Linux;France;Sí;Tarjeta de Crédito;U1391;Masculino;Google;31;51;14;4;0;26;25937;4;4039
Ropa;Marsella;No;No;Escritorio;Windows;France;Sí;Tarjeta de Crédito;U0018;Masculino;Correo Electrónico;151;19;8;15;36;24;26097;8;9877
Ropa;Marsella;No;Sí;Escritorio;Android;France;No;Criptomoneda;U0641;Femenino;Correo Electrónico;18;42;20;20;10;39;10828;5;48898
Ropa;Marsella;No;Sí;Escritorio;iOS;France;Sí;Tarjeta de Regalo;U0994;Femenino;Correo Electrónico;64;61;1;14;25;35;43202;8;95304
Ropa;Marsella;No;Sí;Escritorio;Linux;France;No;Criptomoneda;U0497;Femenino;Redes Sociales;171;49;8;0;21;50;44791;10;0
Ropa;Marsella;No;Sí;Móvil;Android;France;No;Tarjeta de Crédito;U0362;Masculino;Otro;144;50;22;21;0;30;11648;7;0
Ropa;Marsella;Sí;No;Escritorio;Windows;France;No;Tarjeta de Regalo;U1187;Masculino;Directo;51;38;11;0;7;34;16804;3;132
Ropa;Marsella;Sí;No;Móvil;Android;France;No;Tarjeta de Crédito;U0166;Femenino;Redes Sociales;70;45;22;23;0;10;33663;10;67073
Ropa;Marsella;Sí;No;Tableta;Linux;France;No;PayPal;U0937;Masculino;Redes Sociales;10;62;19;18;6;35;5909;3;72967
Ropa;Marsella;Sí;Sí;Escritorio;MacOS;France;No;Criptomoneda;U0095;Otro;Otro;2;18;16;7;27;36;24577;4;0
Ropa;Marsella;Sí;Sí;Móvil;MacOS;France;Sí;Tarjeta de Regalo;U1057;Masculino;Directo;174;47;11;12;0;11;4718;1;41858
Ropa;Marsella;Sí;Sí;Tableta;Linux;France;Sí;Tarjeta de Regalo;U0276;Otro;Directo;28;26;28;0;0;19;5425;0;0
Ropa;Marsella;Sí;Sí;Tableta;Linux;France;Sí;Tarjeta de Regalo;U0831;Otro;Google;134;37;16;11;11;14;43243;8;0
Ropa;Marsella;Sí;Sí;Tableta;Windows;France;No;Criptomoneda;U0847;Masculino;Redes Sociales;151;33;2;2;35;26;8614;4;0
Ropa;Monterrey;No;No;Escritorio;iOS;Mexico;No;Criptomoneda;U0310;Otro;Google;65;31;27;14;38;37;33646;0;0
Ropa;Monterrey;No;No;Escritorio;iOS;Mexico;No;Tarjeta de Crédito;U0494;Femenino;Otro;102;48;30;0;0;49;10005;1;0
Ropa;Monterrey;No;No;Móvil;Android;Mexico;No;PayPal;U0947;Otro;Directo;109;61;27;23;0;39;35401;3;0
Ropa;Monterrey;No;No;Móvil;Windows;Mexico;No;Criptomoneda;U1453;Femenino;Directo;117;51;2;10;0;8;5237;2;0
Ropa;Monterrey;No;Sí;Móvil;Android;Mexico;No;Tarjeta de Regalo;U0261;Femenino;Directo;154;48;14;3;23;44;47316;8;38007
Ropa;Monterrey;Sí;No;Escritorio;MacOS;Mexico;Sí;Tarjeta de Crédito;U0001;Masculino;Redes Sociales;8;56;16;19;0;17;2661;1;72221
Ropa;Monterrey;Sí;No;Móvil;MacOS;Mexico;No;Criptomoneda;U0570;Masculino;Google;178;52;23;14;0;33;32319;4;0
